product_id,description,product_type,quantiry_available,
product_776,desc_776,type_776,71,Yes
product_777,desc_777,type_777,4,No
product_778,desc_778,type_778,70,No
product_779,desc_779,type_779,58,No
product_780,desc_780,type_780,24,Yes
product_781,desc_781,type_781,21,No
product_782,desc_782,type_782,59,Yes
product_783,desc_783,type_783,80,No
product_784,desc_784,type_784,74,Yes
product_785,desc_785,type_785,50,No
product_786,desc_786,type_786,7,No
product_787,desc_787,type_787,5,Yes
product_788,desc_788,type_788,90,No
product_789,desc_789,type_789,7,No
product_790,desc_790,type_790,80,Yes
product_791,desc_791,type_791,96,Yes
product_792,desc_792,type_792,36,No
product_793,desc_793,type_793,12,No
product_794,desc_794,type_794,26,Yes
product_795,desc_795,type_795,37,Yes
product_796,desc_796,type_796,9,No
product_797,desc_797,type_797,58,Yes
product_798,desc_798,type_798,51,Yes
product_799,desc_799,type_799,78,Yes
product_800,desc_800,type_800,19,No
product_801,desc_801,type_801,70,No
product_802,desc_802,type_802,95,Yes
product_803,desc_803,type_803,63,No
product_804,desc_804,type_804,0,Yes
product_805,desc_805,type_805,19,No
product_806,desc_806,type_806,34,Yes
product_807,desc_807,type_807,59,No
product_808,desc_808,type_808,81,Yes
product_809,desc_809,type_809,7,No
product_810,desc_810,type_810,69,No
product_811,desc_811,type_811,26,Yes
product_812,desc_812,type_812,70,No
product_813,desc_813,type_813,93,No
product_814,desc_814,type_814,21,No
product_815,desc_815,type_815,68,Yes
product_816,desc_816,type_816,68,No
product_817,desc_817,type_817,75,No
product_818,desc_818,type_818,27,Yes
product_819,desc_819,type_819,100,No
product_820,desc_820,type_820,69,Yes
product_821,desc_821,type_821,96,No
product_822,desc_822,type_822,50,No
product_823,desc_823,type_823,46,No
product_824,desc_824,type_824,3,Yes
product_825,desc_825,type_825,87,No
product_826,desc_826,type_826,3,No
product_827,desc_827,type_827,11,Yes
product_828,desc_828,type_828,7,No
product_829,desc_829,type_829,45,Yes
product_830,desc_830,type_830,6,Yes
product_831,desc_831,type_831,73,No
product_832,desc_832,type_832,19,Yes
product_833,desc_833,type_833,52,Yes
product_834,desc_834,type_834,58,Yes
product_835,desc_835,type_835,51,Yes
product_836,desc_836,type_836,9,Yes
product_837,desc_837,type_837,99,No
product_838,desc_838,type_838,23,No
product_839,desc_839,type_839,39,No
product_840,desc_840,type_840,78,Yes
product_841,desc_841,type_841,61,Yes
product_842,desc_842,type_842,40,No
product_843,desc_843,type_843,54,Yes
product_844,desc_844,type_844,93,No
product_845,desc_845,type_845,20,No
product_846,desc_846,type_846,93,No
product_847,desc_847,type_847,34,Yes
product_848,desc_848,type_848,45,Yes
product_849,desc_849,type_849,40,Yes
product_850,desc_850,type_850,52,No
product_851,desc_851,type_851,80,Yes
product_852,desc_852,type_852,59,Yes
product_853,desc_853,type_853,97,No
product_854,desc_854,type_854,81,Yes
product_855,desc_855,type_855,76,Yes
product_856,desc_856,type_856,92,No
product_857,desc_857,type_857,22,Yes
product_858,desc_858,type_858,3,No
product_859,desc_859,type_859,49,Yes
product_860,desc_860,type_860,61,Yes
product_861,desc_861,type_861,85,No
product_862,desc_862,type_862,38,No
product_863,desc_863,type_863,69,Yes
product_864,desc_864,type_864,86,Yes
product_865,desc_865,type_865,23,Yes
product_866,desc_866,type_866,4,Yes
product_867,desc_867,type_867,80,Yes
product_868,desc_868,type_868,11,Yes
product_869,desc_869,type_869,64,Yes
product_870,desc_870,type_870,68,Yes
product_871,desc_871,type_871,30,Yes
product_872,desc_872,type_872,34,No
product_873,desc_873,type_873,21,Yes
product_874,desc_874,type_874,26,No
product_875,desc_875,type_875,46,Yes
product_876,desc_876,type_876,68,No
product_877,desc_877,type_877,51,No
product_878,desc_878,type_878,71,Yes
product_879,desc_879,type_879,42,Yes
product_880,desc_880,type_880,72,Yes
product_881,desc_881,type_881,70,Yes
product_882,desc_882,type_882,48,Yes
product_883,desc_883,type_883,9,Yes
product_884,desc_884,type_884,30,Yes
product_885,desc_885,type_885,89,No
product_886,desc_886,type_886,48,Yes
product_887,desc_887,type_887,71,Yes
product_888,desc_888,type_888,66,Yes
product_889,desc_889,type_889,82,Yes
product_890,desc_890,type_890,57,No
product_891,desc_891,type_891,42,No
product_892,desc_892,type_892,69,No
product_893,desc_893,type_893,3,Yes
product_894,desc_894,type_894,61,No
product_895,desc_895,type_895,14,No
product_896,desc_896,type_896,90,No
product_897,desc_897,type_897,100,No
product_898,desc_898,type_898,66,No
product_899,desc_899,type_899,58,Yes
product_900,desc_900,type_900,75,No
product_901,desc_901,type_901,97,Yes
product_902,desc_902,type_902,20,Yes
product_903,desc_903,type_903,60,Yes
product_904,desc_904,type_904,61,No
product_905,desc_905,type_905,21,Yes
product_906,desc_906,type_906,45,Yes
product_907,desc_907,type_907,28,No
product_908,desc_908,type_908,21,No
product_909,desc_909,type_909,63,Yes
product_910,desc_910,type_910,11,No
product_911,desc_911,type_911,29,No
product_912,desc_912,type_912,52,No
product_913,desc_913,type_913,100,No
product_914,desc_914,type_914,85,No
product_915,desc_915,type_915,23,No
product_916,desc_916,type_916,31,No
product_917,desc_917,type_917,18,Yes
product_918,desc_918,type_918,10,No
product_919,desc_919,type_919,54,No
product_920,desc_920,type_920,7,No
product_921,desc_921,type_921,43,Yes
product_922,desc_922,type_922,86,No
product_923,desc_923,type_923,91,No
product_924,desc_924,type_924,100,No
product_925,desc_925,type_925,67,No
product_926,desc_926,type_926,98,Yes
product_927,desc_927,type_927,34,No
product_928,desc_928,type_928,99,Yes
product_929,desc_929,type_929,28,No
product_930,desc_930,type_930,14,Yes
product_931,desc_931,type_931,79,No
product_932,desc_932,type_932,66,Yes
product_933,desc_933,type_933,28,Yes
product_934,desc_934,type_934,27,Yes
product_935,desc_935,type_935,57,No
product_936,desc_936,type_936,24,Yes
product_937,desc_937,type_937,54,No
product_938,desc_938,type_938,25,Yes
product_939,desc_939,type_939,96,No
product_940,desc_940,type_940,55,Yes
product_941,desc_941,type_941,12,No
product_942,desc_942,type_942,70,No
product_943,desc_943,type_943,41,No
product_944,desc_944,type_944,95,No
product_945,desc_945,type_945,0,No
product_946,desc_946,type_946,75,No
product_947,desc_947,type_947,13,Yes
product_948,desc_948,type_948,79,Yes
product_949,desc_949,type_949,36,Yes
product_950,desc_950,type_950,23,No
product_951,desc_951,type_951,90,Yes
product_952,desc_952,type_952,93,Yes
product_953,desc_953,type_953,18,Yes
product_954,desc_954,type_954,87,No
product_955,desc_955,type_955,94,Yes
product_956,desc_956,type_956,88,No
product_957,desc_957,type_957,68,No
product_958,desc_958,type_958,21,Yes
product_959,desc_959,type_959,24,Yes
product_960,desc_960,type_960,65,No
product_961,desc_961,type_961,23,No
product_962,desc_962,type_962,63,No
product_963,desc_963,type_963,44,No
product_964,desc_964,type_964,13,Yes
product_965,desc_965,type_965,67,No
product_966,desc_966,type_966,15,Yes
product_967,desc_967,type_967,52,No
product_968,desc_968,type_968,60,Yes
product_969,desc_969,type_969,98,No
product_970,desc_970,type_970,69,No
product_971,desc_971,type_971,60,No
product_972,desc_972,type_972,36,Yes
product_973,desc_973,type_973,56,Yes
product_974,desc_974,type_974,41,Yes
product_975,desc_975,type_975,77,Yes
product_976,desc_976,type_976,44,No
product_977,desc_977,type_977,4,Yes
product_978,desc_978,type_978,39,Yes
product_979,desc_979,type_979,24,No
product_980,desc_980,type_980,28,Yes
product_981,desc_981,type_981,61,No
product_982,desc_982,type_982,76,Yes
product_983,desc_983,type_983,99,Yes
product_984,desc_984,type_984,94,Yes
product_985,desc_985,type_985,48,Yes
product_986,desc_986,type_986,62,Yes
product_987,desc_987,type_987,79,Yes
product_988,desc_988,type_988,80,No
product_989,desc_989,type_989,11,No
product_990,desc_990,type_990,72,Yes
product_991,desc_991,type_991,98,Yes
product_992,desc_992,type_992,71,No
product_993,desc_993,type_993,29,Yes
product_994,desc_994,type_994,21,No
product_995,desc_995,type_995,80,Yes
product_996,desc_996,type_996,2,No
product_997,desc_997,type_997,100,No
product_998,desc_998,type_998,91,No
product_999,desc_999,type_999,8,No
product_1000,desc_1000,type_1000,64,No
