2020-05-04 09:40:25,799 charges_calc.py:73  WARNING Invalid end date of 2017-03-22 00:00:00 found in record RNT001
2020-05-04 09:40:25,954 charges_calc.py:73  WARNING Invalid end date of 2016-02-18 00:00:00 found in record RNT242
2020-05-04 09:40:25,955 charges_calc.py:82  WARNING Value Error on record RNT242, value {'product_code': 'PRD14', 'units_rented': 7, 'price_per_day': 9, 'rental_start': '1/31/17', 'rental_end': '2/18/16', 'total_days': -348, 'total_price': -3132} square of the total price
2020-05-04 09:40:25,955 charges_calc.py:73  WARNING Invalid end date of 2016-10-13 00:00:00 found in record RNT243
2020-05-04 09:40:25,956 charges_calc.py:82  WARNING Value Error on record RNT243, value {'product_code': 'PRD0', 'units_rented': 4, 'price_per_day': 13, 'rental_start': '12/8/17', 'rental_end': '10/13/16', 'total_days': -421, 'total_price': -5473} square of the total price
2020-05-04 09:40:25,956 charges_calc.py:73  WARNING Invalid end date of 2016-09-16 00:00:00 found in record RNT244
2020-05-04 09:40:25,958 charges_calc.py:82  WARNING Value Error on record RNT244, value {'product_code': 'PRD23', 'units_rented': 2, 'price_per_day': 12, 'rental_start': '6/25/18', 'rental_end': '9/16/16', 'total_days': -647, 'total_price': -7764} square of the total price
2020-05-04 09:40:25,959 charges_calc.py:73  WARNING Invalid end date of 2017-08-28 00:00:00 found in record RNT246
2020-05-04 09:40:25,960 charges_calc.py:82  WARNING Value Error on record RNT246, value {'product_code': 'PRD85', 'units_rented': 3, 'price_per_day': 21, 'rental_start': '2/2/18', 'rental_end': '8/28/17', 'total_days': -158, 'total_price': -3318} square of the total price
2020-05-04 09:40:25,960 charges_calc.py:73  WARNING Invalid end date of 2017-06-10 00:00:00 found in record RNT247
2020-05-04 09:40:25,960 charges_calc.py:82  WARNING Value Error on record RNT247, value {'product_code': 'PRD33', 'units_rented': 6, 'price_per_day': 9, 'rental_start': '7/10/17', 'rental_end': '6/10/17', 'total_days': -30, 'total_price': -270} square of the total price
2020-05-04 09:40:25,961 charges_calc.py:73  WARNING Invalid end date of 2016-04-17 00:00:00 found in record RNT254
2020-05-04 09:40:25,961 charges_calc.py:82  WARNING Value Error on record RNT254, value {'product_code': 'PRD13', 'units_rented': 7, 'price_per_day': 8, 'rental_start': '10/31/16', 'rental_end': '4/17/16', 'total_days': -197, 'total_price': -1576} square of the total price
2020-05-04 09:40:25,962 charges_calc.py:73  WARNING Invalid end date of 2017-04-10 00:00:00 found in record RNT258
2020-05-04 09:40:25,962 charges_calc.py:82  WARNING Value Error on record RNT258, value {'product_code': 'PRD70', 'units_rented': 2, 'price_per_day': 18, 'rental_start': '10/21/17', 'rental_end': '4/10/17', 'total_days': -194, 'total_price': -3492} square of the total price
2020-05-04 09:40:25,963 charges_calc.py:73  WARNING Invalid end date of 2016-08-16 00:00:00 found in record RNT259
2020-05-04 09:40:25,963 charges_calc.py:82  WARNING Value Error on record RNT259, value {'product_code': 'PRD86', 'units_rented': 4, 'price_per_day': 34, 'rental_start': '2/14/18', 'rental_end': '8/16/16', 'total_days': -547, 'total_price': -18598} square of the total price
2020-05-04 09:40:25,964 charges_calc.py:73  WARNING Invalid end date of 2017-01-19 00:00:00 found in record RNT260
2020-05-04 09:40:25,964 charges_calc.py:82  WARNING Value Error on record RNT260, value {'product_code': 'PRD17', 'units_rented': 10, 'price_per_day': 16, 'rental_start': '1/28/18', 'rental_end': '1/19/17', 'total_days': -374, 'total_price': -5984} square of the total price
2020-05-04 09:40:25,964 charges_calc.py:73  WARNING Invalid end date of 2017-11-10 00:00:00 found in record RNT261
2020-05-04 09:40:25,965 charges_calc.py:82  WARNING Value Error on record RNT261, value {'product_code': 'PRD82', 'units_rented': 4, 'price_per_day': 15, 'rental_start': '3/14/18', 'rental_end': '11/10/17', 'total_days': -124, 'total_price': -1860} square of the total price
2020-05-04 09:40:25,965 charges_calc.py:73  WARNING Invalid end date of 2016-09-26 00:00:00 found in record RNT264
2020-05-04 09:40:25,966 charges_calc.py:82  WARNING Value Error on record RNT264, value {'product_code': 'PRD50', 'units_rented': 1, 'price_per_day': 15, 'rental_start': '9/25/18', 'rental_end': '9/26/16', 'total_days': -729, 'total_price': -10935} square of the total price
2020-05-04 09:40:25,966 charges_calc.py:73  WARNING Invalid end date of 2017-10-07 00:00:00 found in record RNT265
2020-05-04 09:40:25,968 charges_calc.py:82  WARNING Value Error on record RNT265, value {'product_code': 'PRD15', 'units_rented': 5, 'price_per_day': 16, 'rental_start': '10/8/17', 'rental_end': '10/7/17', 'total_days': -1, 'total_price': -16} square of the total price
2020-05-04 09:40:25,969 charges_calc.py:73  WARNING Invalid end date of 2016-07-24 00:00:00 found in record RNT270
2020-05-04 09:40:25,969 charges_calc.py:82  WARNING Value Error on record RNT270, value {'product_code': 'PRD19', 'units_rented': 4, 'price_per_day': 19, 'rental_start': '8/30/16', 'rental_end': '7/24/16', 'total_days': -37, 'total_price': -703} square of the total price
2020-05-04 09:40:25,970 charges_calc.py:73  WARNING Invalid end date of 2016-08-07 00:00:00 found in record RNT271
2020-05-04 09:40:25,970 charges_calc.py:82  WARNING Value Error on record RNT271, value {'product_code': 'PRD33', 'units_rented': 1, 'price_per_day': 11, 'rental_start': '11/27/18', 'rental_end': '8/7/16', 'total_days': -842, 'total_price': -9262} square of the total price
2020-05-04 09:40:25,970 charges_calc.py:73  WARNING Invalid end date of 2017-05-19 00:00:00 found in record RNT272
2020-05-04 09:40:25,971 charges_calc.py:82  WARNING Value Error on record RNT272, value {'product_code': 'PRD57', 'units_rented': 2, 'price_per_day': 24, 'rental_start': '7/31/17', 'rental_end': '5/19/17', 'total_days': -73, 'total_price': -1752} square of the total price
2020-05-04 09:40:25,971 charges_calc.py:73  WARNING Invalid end date of 2017-02-12 00:00:00 found in record RNT274
2020-05-04 09:40:25,972 charges_calc.py:82  WARNING Value Error on record RNT274, value {'product_code': 'PRD3', 'units_rented': 2, 'price_per_day': 38, 'rental_start': '12/15/18', 'rental_end': '2/12/17', 'total_days': -671, 'total_price': -25498} square of the total price
2020-05-04 09:40:25,973 charges_calc.py:73  WARNING Invalid end date of 2016-10-21 00:00:00 found in record RNT277
2020-05-04 09:40:25,973 charges_calc.py:82  WARNING Value Error on record RNT277, value {'product_code': 'PRD28', 'units_rented': 2, 'price_per_day': 5, 'rental_start': '8/7/18', 'rental_end': '10/21/16', 'total_days': -655, 'total_price': -3275} square of the total price
2020-05-04 09:40:25,974 charges_calc.py:73  WARNING Invalid end date of 2017-09-04 00:00:00 found in record RNT282
2020-05-04 09:40:25,974 charges_calc.py:82  WARNING Value Error on record RNT282, value {'product_code': 'PRD28', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '2/3/18', 'rental_end': '9/4/17', 'total_days': -152, 'total_price': -3040} square of the total price
2020-05-04 09:40:25,974 charges_calc.py:73  WARNING Invalid end date of 2018-06-30 00:00:00 found in record RNT283
2020-05-04 09:40:25,975 charges_calc.py:82  WARNING Value Error on record RNT283, value {'product_code': 'PRD85', 'units_rented': 7, 'price_per_day': 12, 'rental_start': '7/18/18', 'rental_end': '6/30/18', 'total_days': -18, 'total_price': -216} square of the total price
2020-05-04 09:40:25,975 charges_calc.py:73  WARNING Invalid end date of 2018-09-13 00:00:00 found in record RNT288
2020-05-04 09:40:25,975 charges_calc.py:82  WARNING Value Error on record RNT288, value {'product_code': 'PRD74', 'units_rented': 8, 'price_per_day': 37, 'rental_start': '12/31/18', 'rental_end': '9/13/18', 'total_days': -109, 'total_price': -4033} square of the total price
2020-05-04 09:40:25,976 charges_calc.py:73  WARNING Invalid end date of 2016-05-12 00:00:00 found in record RNT290
2020-05-04 09:40:25,976 charges_calc.py:82  WARNING Value Error on record RNT290, value {'product_code': 'PRD90', 'units_rented': 2, 'price_per_day': 26, 'rental_start': '5/17/16', 'rental_end': '5/12/16', 'total_days': -5, 'total_price': -130} square of the total price
2020-05-04 09:40:25,978 charges_calc.py:73  WARNING Invalid end date of 2016-04-25 00:00:00 found in record RNT295
2020-05-04 09:40:25,978 charges_calc.py:82  WARNING Value Error on record RNT295, value {'product_code': 'PRD71', 'units_rented': 3, 'price_per_day': 35, 'rental_start': '11/10/16', 'rental_end': '4/25/16', 'total_days': -199, 'total_price': -6965} square of the total price
2020-05-04 09:40:25,979 charges_calc.py:73  WARNING Invalid end date of 2016-05-13 00:00:00 found in record RNT296
2020-05-04 09:40:25,979 charges_calc.py:82  WARNING Value Error on record RNT296, value {'product_code': 'PRD84', 'units_rented': 5, 'price_per_day': 24, 'rental_start': '12/8/17', 'rental_end': '5/13/16', 'total_days': -574, 'total_price': -13776} square of the total price
2020-05-04 09:40:25,980 charges_calc.py:73  WARNING Invalid end date of 2018-07-08 00:00:00 found in record RNT298
2020-05-04 09:40:25,980 charges_calc.py:82  WARNING Value Error on record RNT298, value {'product_code': 'PRD29', 'units_rented': 3, 'price_per_day': 20, 'rental_start': '12/11/18', 'rental_end': '7/8/18', 'total_days': -156, 'total_price': -3120} square of the total price
2020-05-04 09:40:25,981 charges_calc.py:73  WARNING Invalid end date of 2016-10-08 00:00:00 found in record RNT299
2020-05-04 09:40:25,981 charges_calc.py:82  WARNING Value Error on record RNT299, value {'product_code': 'PRD69', 'units_rented': 6, 'price_per_day': 39, 'rental_start': '10/13/16', 'rental_end': '10/8/16', 'total_days': -5, 'total_price': -195} square of the total price
2020-05-04 09:40:25,981 charges_calc.py:73  WARNING Invalid end date of 2016-06-30 00:00:00 found in record RNT300
2020-05-04 09:40:25,982 charges_calc.py:82  WARNING Value Error on record RNT300, value {'product_code': 'PRD18', 'units_rented': 1, 'price_per_day': 27, 'rental_start': '1/27/17', 'rental_end': '6/30/16', 'total_days': -211, 'total_price': -5697} square of the total price
2020-05-04 09:40:25,982 charges_calc.py:73  WARNING Invalid end date of 2016-01-29 00:00:00 found in record RNT301
2020-05-04 09:40:25,983 charges_calc.py:82  WARNING Value Error on record RNT301, value {'product_code': 'PRD89', 'units_rented': 8, 'price_per_day': 15, 'rental_start': '8/10/17', 'rental_end': '1/29/16', 'total_days': -559, 'total_price': -8385} square of the total price
2020-05-04 09:40:25,983 charges_calc.py:73  WARNING Invalid end date of 2016-02-22 00:00:00 found in record RNT302
2020-05-04 09:40:25,984 charges_calc.py:82  WARNING Value Error on record RNT302, value {'product_code': 'PRD37', 'units_rented': 3, 'price_per_day': 6, 'rental_start': '12/2/16', 'rental_end': '2/22/16', 'total_days': -284, 'total_price': -1704} square of the total price
2020-05-04 09:40:25,984 charges_calc.py:73  WARNING Invalid end date of 2017-05-23 00:00:00 found in record RNT303
2020-05-04 09:40:25,985 charges_calc.py:82  WARNING Value Error on record RNT303, value {'product_code': 'PRD13', 'units_rented': 8, 'price_per_day': 30, 'rental_start': '7/2/18', 'rental_end': '5/23/17', 'total_days': -405, 'total_price': -12150} square of the total price
2020-05-04 09:40:25,985 charges_calc.py:73  WARNING Invalid end date of 2017-12-31 00:00:00 found in record RNT304
2020-05-04 09:40:25,986 charges_calc.py:82  WARNING Value Error on record RNT304, value {'product_code': 'PRD11', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '6/29/18', 'rental_end': '12/31/17', 'total_days': -180, 'total_price': -3600} square of the total price
2020-05-04 09:40:25,986 charges_calc.py:73  WARNING Invalid end date of 2016-04-20 00:00:00 found in record RNT305
2020-05-04 09:40:25,986 charges_calc.py:82  WARNING Value Error on record RNT305, value {'product_code': 'PRD12', 'units_rented': 7, 'price_per_day': 19, 'rental_start': '1/10/18', 'rental_end': '4/20/16', 'total_days': -630, 'total_price': -11970} square of the total price
2020-05-04 09:40:25,988 charges_calc.py:73  WARNING Invalid end date of 2017-01-21 00:00:00 found in record RNT306
2020-05-04 09:40:25,989 charges_calc.py:82  WARNING Value Error on record RNT306, value {'product_code': 'PRD18', 'units_rented': 1, 'price_per_day': 40, 'rental_start': '8/6/18', 'rental_end': '1/21/17', 'total_days': -562, 'total_price': -22480} square of the total price
2020-05-04 09:40:25,990 charges_calc.py:73  WARNING Invalid end date of 2016-04-28 00:00:00 found in record RNT308
2020-05-04 09:40:25,990 charges_calc.py:82  WARNING Value Error on record RNT308, value {'product_code': 'PRD23', 'units_rented': 6, 'price_per_day': 5, 'rental_start': '7/25/16', 'rental_end': '4/28/16', 'total_days': -88, 'total_price': -440} square of the total price
2020-05-04 09:40:25,991 charges_calc.py:73  WARNING Invalid end date of 2017-10-26 00:00:00 found in record RNT309
2020-05-04 09:40:25,991 charges_calc.py:82  WARNING Value Error on record RNT309, value {'product_code': 'PRD14', 'units_rented': 5, 'price_per_day': 35, 'rental_start': '12/3/17', 'rental_end': '10/26/17', 'total_days': -38, 'total_price': -1330} square of the total price
2020-05-04 09:40:25,992 charges_calc.py:73  WARNING Invalid end date of 2016-07-05 00:00:00 found in record RNT310
2020-05-04 09:40:25,992 charges_calc.py:82  WARNING Value Error on record RNT310, value {'product_code': 'PRD29', 'units_rented': 10, 'price_per_day': 13, 'rental_start': '11/28/18', 'rental_end': '7/5/16', 'total_days': -876, 'total_price': -11388} square of the total price
2020-05-04 09:40:25,993 charges_calc.py:73  WARNING Invalid end date of 2017-05-19 00:00:00 found in record RNT311
2020-05-04 09:40:25,993 charges_calc.py:82  WARNING Value Error on record RNT311, value {'product_code': 'PRD45', 'units_rented': 8, 'price_per_day': 31, 'rental_start': '12/24/18', 'rental_end': '5/19/17', 'total_days': -584, 'total_price': -18104} square of the total price
2020-05-04 09:40:25,994 charges_calc.py:73  WARNING Invalid end date of 2017-03-26 00:00:00 found in record RNT312
2020-05-04 09:40:25,994 charges_calc.py:82  WARNING Value Error on record RNT312, value {'product_code': 'PRD98', 'units_rented': 1, 'price_per_day': 34, 'rental_start': '6/17/17', 'rental_end': '3/26/17', 'total_days': -83, 'total_price': -2822} square of the total price
2020-05-04 09:40:25,994 charges_calc.py:73  WARNING Invalid end date of 2017-02-17 00:00:00 found in record RNT313
2020-05-04 09:40:25,995 charges_calc.py:82  WARNING Value Error on record RNT313, value {'product_code': 'PRD75', 'units_rented': 8, 'price_per_day': 13, 'rental_start': '1/23/18', 'rental_end': '2/17/17', 'total_days': -340, 'total_price': -4420} square of the total price
2020-05-04 09:40:25,995 charges_calc.py:73  WARNING Invalid end date of 2017-03-06 00:00:00 found in record RNT314
2020-05-04 09:40:25,996 charges_calc.py:82  WARNING Value Error on record RNT314, value {'product_code': 'PRD71', 'units_rented': 8, 'price_per_day': 39, 'rental_start': '7/25/18', 'rental_end': '3/6/17', 'total_days': -506, 'total_price': -19734} square of the total price
2020-05-04 09:40:25,996 charges_calc.py:73  WARNING Invalid end date of 2016-12-21 00:00:00 found in record RNT315
2020-05-04 09:40:25,997 charges_calc.py:82  WARNING Value Error on record RNT315, value {'product_code': 'PRD86', 'units_rented': 3, 'price_per_day': 35, 'rental_start': '9/19/17', 'rental_end': '12/21/16', 'total_days': -272, 'total_price': -9520} square of the total price
2020-05-04 09:40:25,998 charges_calc.py:73  WARNING Invalid end date of 2016-04-14 00:00:00 found in record RNT316
2020-05-04 09:40:25,999 charges_calc.py:82  WARNING Value Error on record RNT316, value {'product_code': 'PRD92', 'units_rented': 6, 'price_per_day': 16, 'rental_start': '1/9/17', 'rental_end': '4/14/16', 'total_days': -270, 'total_price': -4320} square of the total price
2020-05-04 09:40:26,000 charges_calc.py:73  WARNING Invalid end date of 2017-08-25 00:00:00 found in record RNT320
2020-05-04 09:40:26,000 charges_calc.py:82  WARNING Value Error on record RNT320, value {'product_code': 'PRD90', 'units_rented': 5, 'price_per_day': 14, 'rental_start': '10/16/18', 'rental_end': '8/25/17', 'total_days': -417, 'total_price': -5838} square of the total price
2020-05-04 09:40:26,001 charges_calc.py:73  WARNING Invalid end date of 2017-06-09 00:00:00 found in record RNT321
2020-05-04 09:40:26,002 charges_calc.py:82  WARNING Value Error on record RNT321, value {'product_code': 'PRD65', 'units_rented': 9, 'price_per_day': 17, 'rental_start': '4/18/18', 'rental_end': '6/9/17', 'total_days': -313, 'total_price': -5321} square of the total price
2020-05-04 09:40:26,002 charges_calc.py:73  WARNING Invalid end date of 2016-02-03 00:00:00 found in record RNT324
2020-05-04 09:40:26,002 charges_calc.py:82  WARNING Value Error on record RNT324, value {'product_code': 'PRD18', 'units_rented': 5, 'price_per_day': 18, 'rental_start': '12/29/18', 'rental_end': '2/3/16', 'total_days': -1060, 'total_price': -19080} square of the total price
2020-05-04 09:40:26,003 charges_calc.py:73  WARNING Invalid end date of 2016-06-10 00:00:00 found in record RNT325
2020-05-04 09:40:26,003 charges_calc.py:82  WARNING Value Error on record RNT325, value {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 34, 'rental_start': '5/18/18', 'rental_end': '6/10/16', 'total_days': -707, 'total_price': -24038} square of the total price
2020-05-04 09:40:26,004 charges_calc.py:73  WARNING Invalid end date of 2017-07-06 00:00:00 found in record RNT331
2020-05-04 09:40:26,004 charges_calc.py:82  WARNING Value Error on record RNT331, value {'product_code': 'PRD68', 'units_rented': 2, 'price_per_day': 38, 'rental_start': '7/8/17', 'rental_end': '7/6/17', 'total_days': -2, 'total_price': -76} square of the total price
2020-05-04 09:40:26,005 charges_calc.py:73  WARNING Invalid end date of 2017-12-04 00:00:00 found in record RNT335
2020-05-04 09:40:26,005 charges_calc.py:82  WARNING Value Error on record RNT335, value {'product_code': 'PRD37', 'units_rented': 3, 'price_per_day': 10, 'rental_start': '12/19/17', 'rental_end': '12/4/17', 'total_days': -15, 'total_price': -150} square of the total price
2020-05-04 09:40:26,006 charges_calc.py:73  WARNING Invalid end date of 2016-12-13 00:00:00 found in record RNT336
2020-05-04 09:40:26,006 charges_calc.py:82  WARNING Value Error on record RNT336, value {'product_code': 'PRD95', 'units_rented': 7, 'price_per_day': 17, 'rental_start': '9/3/17', 'rental_end': '12/13/16', 'total_days': -264, 'total_price': -4488} square of the total price
2020-05-04 09:40:26,008 charges_calc.py:73  WARNING Invalid end date of 2017-03-25 00:00:00 found in record RNT337
2020-05-04 09:40:26,008 charges_calc.py:82  WARNING Value Error on record RNT337, value {'product_code': 'PRD31', 'units_rented': 9, 'price_per_day': 25, 'rental_start': '12/16/17', 'rental_end': '3/25/17', 'total_days': -266, 'total_price': -6650} square of the total price
2020-05-04 09:40:26,009 charges_calc.py:73  WARNING Invalid end date of 2016-03-01 00:00:00 found in record RNT339
2020-05-04 09:40:26,009 charges_calc.py:82  WARNING Value Error on record RNT339, value {'product_code': 'PRD43', 'units_rented': 5, 'price_per_day': 38, 'rental_start': '7/12/17', 'rental_end': '3/1/16', 'total_days': -498, 'total_price': -18924} square of the total price
2020-05-04 09:40:26,010 charges_calc.py:73  WARNING Invalid end date of 2017-01-17 00:00:00 found in record RNT343
2020-05-04 09:40:26,010 charges_calc.py:82  WARNING Value Error on record RNT343, value {'product_code': 'PRD73', 'units_rented': 3, 'price_per_day': 32, 'rental_start': '2/15/17', 'rental_end': '1/17/17', 'total_days': -29, 'total_price': -928} square of the total price
2020-05-04 09:40:26,011 charges_calc.py:73  WARNING Invalid end date of 2016-10-22 00:00:00 found in record RNT345
2020-05-04 09:40:26,011 charges_calc.py:82  WARNING Value Error on record RNT345, value {'product_code': 'PRD44', 'units_rented': 5, 'price_per_day': 38, 'rental_start': '5/15/17', 'rental_end': '10/22/16', 'total_days': -205, 'total_price': -7790} square of the total price
2020-05-04 09:40:26,011 charges_calc.py:73  WARNING Invalid end date of 2017-03-21 00:00:00 found in record RNT346
2020-05-04 09:40:26,012 charges_calc.py:82  WARNING Value Error on record RNT346, value {'product_code': 'PRD59', 'units_rented': 7, 'price_per_day': 27, 'rental_start': '9/17/18', 'rental_end': '3/21/17', 'total_days': -545, 'total_price': -14715} square of the total price
2020-05-04 09:40:26,012 charges_calc.py:73  WARNING Invalid end date of 2017-09-21 00:00:00 found in record RNT347
2020-05-04 09:40:26,013 charges_calc.py:82  WARNING Value Error on record RNT347, value {'product_code': 'PRD32', 'units_rented': 6, 'price_per_day': 18, 'rental_start': '4/17/18', 'rental_end': '9/21/17', 'total_days': -208, 'total_price': -3744} square of the total price
2020-05-04 09:40:26,013 charges_calc.py:73  WARNING Invalid end date of 2017-01-15 00:00:00 found in record RNT352
2020-05-04 09:40:26,013 charges_calc.py:82  WARNING Value Error on record RNT352, value {'product_code': 'PRD92', 'units_rented': 8, 'price_per_day': 33, 'rental_start': '7/16/18', 'rental_end': '1/15/17', 'total_days': -547, 'total_price': -18051} square of the total price
2020-05-04 09:40:26,014 charges_calc.py:73  WARNING Invalid end date of 2016-12-13 00:00:00 found in record RNT353
2020-05-04 09:40:26,014 charges_calc.py:82  WARNING Value Error on record RNT353, value {'product_code': 'PRD38', 'units_rented': 4, 'price_per_day': 38, 'rental_start': '10/4/17', 'rental_end': '12/13/16', 'total_days': -295, 'total_price': -11210} square of the total price
2020-05-04 09:40:26,015 charges_calc.py:73  WARNING Invalid end date of 2018-07-30 00:00:00 found in record RNT355
2020-05-04 09:40:26,015 charges_calc.py:82  WARNING Value Error on record RNT355, value {'product_code': 'PRD29', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '9/13/18', 'rental_end': '7/30/18', 'total_days': -45, 'total_price': -540} square of the total price
2020-05-04 09:40:26,016 charges_calc.py:73  WARNING Invalid end date of 2017-08-21 00:00:00 found in record RNT356
2020-05-04 09:40:26,016 charges_calc.py:82  WARNING Value Error on record RNT356, value {'product_code': 'PRD59', 'units_rented': 9, 'price_per_day': 7, 'rental_start': '1/16/18', 'rental_end': '8/21/17', 'total_days': -148, 'total_price': -1036} square of the total price
2020-05-04 09:40:26,018 charges_calc.py:73  WARNING Invalid end date of 2016-03-05 00:00:00 found in record RNT361
2020-05-04 09:40:26,019 charges_calc.py:82  WARNING Value Error on record RNT361, value {'product_code': 'PRD31', 'units_rented': 3, 'price_per_day': 21, 'rental_start': '1/29/18', 'rental_end': '3/5/16', 'total_days': -695, 'total_price': -14595} square of the total price
2020-05-04 09:40:26,019 charges_calc.py:73  WARNING Invalid end date of 2018-05-21 00:00:00 found in record RNT363
2020-05-04 09:40:26,020 charges_calc.py:82  WARNING Value Error on record RNT363, value {'product_code': 'PRD40', 'units_rented': 3, 'price_per_day': 19, 'rental_start': '6/12/18', 'rental_end': '5/21/18', 'total_days': -22, 'total_price': -418} square of the total price
2020-05-04 09:40:26,020 charges_calc.py:73  WARNING Invalid end date of 2018-05-14 00:00:00 found in record RNT364
2020-05-04 09:40:26,020 charges_calc.py:82  WARNING Value Error on record RNT364, value {'product_code': 'PRD51', 'units_rented': 5, 'price_per_day': 38, 'rental_start': '6/24/18', 'rental_end': '5/14/18', 'total_days': -41, 'total_price': -1558} square of the total price
2020-05-04 09:40:26,021 charges_calc.py:73  WARNING Invalid end date of 2017-10-08 00:00:00 found in record RNT366
2020-05-04 09:40:26,021 charges_calc.py:82  WARNING Value Error on record RNT366, value {'product_code': 'PRD73', 'units_rented': 1, 'price_per_day': 34, 'rental_start': '7/24/18', 'rental_end': '10/8/17', 'total_days': -289, 'total_price': -9826} square of the total price
2020-05-04 09:40:26,022 charges_calc.py:73  WARNING Invalid end date of 2017-06-10 00:00:00 found in record RNT371
2020-05-04 09:40:26,022 charges_calc.py:82  WARNING Value Error on record RNT371, value {'product_code': 'PRD2', 'units_rented': 2, 'price_per_day': 30, 'rental_start': '11/20/18', 'rental_end': '6/10/17', 'total_days': -528, 'total_price': -15840} square of the total price
2020-05-04 09:40:26,023 charges_calc.py:73  WARNING Invalid end date of 2016-09-17 00:00:00 found in record RNT372
2020-05-04 09:40:26,023 charges_calc.py:82  WARNING Value Error on record RNT372, value {'product_code': 'PRD40', 'units_rented': 6, 'price_per_day': 26, 'rental_start': '9/14/17', 'rental_end': '9/17/16', 'total_days': -362, 'total_price': -9412} square of the total price
2020-05-04 09:40:26,024 charges_calc.py:73  WARNING Invalid end date of 2018-01-15 00:00:00 found in record RNT374
2020-05-04 09:40:26,024 charges_calc.py:82  WARNING Value Error on record RNT374, value {'product_code': 'PRD85', 'units_rented': 6, 'price_per_day': 9, 'rental_start': '6/28/18', 'rental_end': '1/15/18', 'total_days': -164, 'total_price': -1476} square of the total price
2020-05-04 09:40:26,025 charges_calc.py:73  WARNING Invalid end date of 2017-04-20 00:00:00 found in record RNT376
2020-05-04 09:40:26,025 charges_calc.py:82  WARNING Value Error on record RNT376, value {'product_code': 'PRD75', 'units_rented': 10, 'price_per_day': 23, 'rental_start': '11/20/17', 'rental_end': '4/20/17', 'total_days': -214, 'total_price': -4922} square of the total price
2020-05-04 09:40:26,026 charges_calc.py:73  WARNING Invalid end date of 2016-11-21 00:00:00 found in record RNT379
2020-05-04 09:40:26,026 charges_calc.py:82  WARNING Value Error on record RNT379, value {'product_code': 'PRD44', 'units_rented': 10, 'price_per_day': 17, 'rental_start': '9/11/18', 'rental_end': '11/21/16', 'total_days': -659, 'total_price': -11203} square of the total price
2020-05-04 09:40:26,027 charges_calc.py:73  WARNING Invalid end date of 2016-12-26 00:00:00 found in record RNT381
2020-05-04 09:40:26,028 charges_calc.py:82  WARNING Value Error on record RNT381, value {'product_code': 'PRD30', 'units_rented': 3, 'price_per_day': 19, 'rental_start': '5/28/18', 'rental_end': '12/26/16', 'total_days': -518, 'total_price': -9842} square of the total price
2020-05-04 09:40:26,029 charges_calc.py:73  WARNING Invalid end date of 2017-05-06 00:00:00 found in record RNT383
2020-05-04 09:40:26,029 charges_calc.py:82  WARNING Value Error on record RNT383, value {'product_code': 'PRD58', 'units_rented': 9, 'price_per_day': 9, 'rental_start': '5/28/17', 'rental_end': '5/6/17', 'total_days': -22, 'total_price': -198} square of the total price
2020-05-04 09:40:26,029 charges_calc.py:73  WARNING Invalid end date of 2017-05-29 00:00:00 found in record RNT384
2020-05-04 09:40:26,030 charges_calc.py:82  WARNING Value Error on record RNT384, value {'product_code': 'PRD73', 'units_rented': 1, 'price_per_day': 34, 'rental_start': '11/28/17', 'rental_end': '5/29/17', 'total_days': -183, 'total_price': -6222} square of the total price
2020-05-04 09:40:26,030 charges_calc.py:73  WARNING Invalid end date of 2016-06-09 00:00:00 found in record RNT386
2020-05-04 09:40:26,031 charges_calc.py:82  WARNING Value Error on record RNT386, value {'product_code': 'PRD99', 'units_rented': 4, 'price_per_day': 38, 'rental_start': '1/5/17', 'rental_end': '6/9/16', 'total_days': -210, 'total_price': -7980} square of the total price
2020-05-04 09:40:26,031 charges_calc.py:73  WARNING Invalid end date of 2016-07-18 00:00:00 found in record RNT387
2020-05-04 09:40:26,032 charges_calc.py:82  WARNING Value Error on record RNT387, value {'product_code': 'PRD38', 'units_rented': 3, 'price_per_day': 40, 'rental_start': '12/28/18', 'rental_end': '7/18/16', 'total_days': -893, 'total_price': -35720} square of the total price
2020-05-04 09:40:26,032 charges_calc.py:73  WARNING Invalid end date of 2016-12-11 00:00:00 found in record RNT388
2020-05-04 09:40:26,033 charges_calc.py:82  WARNING Value Error on record RNT388, value {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 5, 'rental_start': '7/21/18', 'rental_end': '12/11/16', 'total_days': -587, 'total_price': -2935} square of the total price
2020-05-04 09:40:26,033 charges_calc.py:73  WARNING Invalid end date of 2017-08-06 00:00:00 found in record RNT391
2020-05-04 09:40:26,034 charges_calc.py:82  WARNING Value Error on record RNT391, value {'product_code': 'PRD2', 'units_rented': 1, 'price_per_day': 27, 'rental_start': '8/18/17', 'rental_end': '8/6/17', 'total_days': -12, 'total_price': -324} square of the total price
2020-05-04 09:40:26,034 charges_calc.py:73  WARNING Invalid end date of 2018-04-04 00:00:00 found in record RNT392
2020-05-04 09:40:26,035 charges_calc.py:82  WARNING Value Error on record RNT392, value {'product_code': 'PRD64', 'units_rented': 9, 'price_per_day': 21, 'rental_start': '7/17/18', 'rental_end': '4/4/18', 'total_days': -104, 'total_price': -2184} square of the total price
