p_id,description,product_type,quantity_available
p0828,blue merry weapon,food,15
p0829,yellow shiny bag,weapon,4
p0830,yellow crazy bag,artifact,5
p0831,black strong hat,weapon,3
p0832,green strong armor,food,16
p0833,black chiffon hat,artifact,14
p0834,red crazy bag,artifact,12
p0835,green crazy bag,food,5
p0836,yellow chiffon armor,weapon,7
p0837,red shiny hat,food,7
p0838,black strong pants,weapon,7
p0839,black crazy helmet,artifact,1
p0840,white strong helmet,weapon,15
p0841,black crazy helmet,weapon,0
p0842,red leather hat,weapon,12
p0843,blue chiffon weapon,weapon,11
p0844,green leather weapon,food,5
p0845,green shiny weapon,artifact,1
p0846,black chiffon armor,weapon,7
p0847,yellow leather armor,food,7
p0848,black strong helmet,weapon,6
p0849,white leather hat,weapon,16
p0850,blue strong hat,weapon,0
p0851,white strong pants,artifact,6
p0852,blue merry weapon,weapon,15
p0853,green chiffon helmet,weapon,8
p0854,green chiffon pants,food,14
p0855,blue strong bag,artifact,12
p0856,yellow chiffon bag,artifact,14
p0857,red merry weapon,food,10
p0858,green leather armor,weapon,8
p0859,green merry hat,food,12
p0860,yellow leather weapon,artifact,13
p0861,black chiffon weapon,weapon,8
p0862,black merry weapon,artifact,12
p0863,yellow leather hat,artifact,15
p0864,yellow merry bag,food,13
p0865,green chiffon bag,food,9
p0866,green strong weapon,food,3
p0867,black crazy pants,food,12
p0868,black chiffon weapon,food,15
p0869,red merry pants,weapon,2
p0870,black merry bag,food,13
p0871,white chiffon bag,food,16
p0872,blue crazy weapon,food,6
p0873,yellow crazy weapon,artifact,6
p0874,yellow crazy helmet,artifact,0
p0875,blue leather weapon,weapon,4
p0876,white chiffon armor,artifact,14
p0877,red crazy hat,artifact,8
p0878,black merry pants,artifact,0
p0879,black crazy helmet,food,8
p0880,white merry weapon,artifact,14
p0881,yellow chiffon bag,food,11
p0882,red strong pants,food,5
p0883,green shiny armor,artifact,10
p0884,blue chiffon pants,weapon,1
p0885,green strong helmet,artifact,2
p0886,green crazy pants,weapon,9
p0887,black crazy armor,weapon,5
p0888,yellow leather bag,food,15
p0889,yellow shiny weapon,artifact,12
p0890,black crazy hat,weapon,12
p0891,black merry weapon,weapon,16
p0892,red crazy bag,artifact,7
p0893,yellow merry weapon,artifact,10
p0894,red strong hat,food,8
p0895,blue leather pants,artifact,9
p0896,green chiffon armor,food,0
p0897,white chiffon hat,artifact,13
p0898,green merry pants,artifact,2
p0899,white chiffon bag,weapon,8
p0900,black shiny hat,artifact,2
p0901,yellow strong weapon,food,8
p0902,white strong weapon,food,16
p0903,green chiffon pants,food,11
p0904,yellow merry hat,food,11
p0905,white strong pants,artifact,0
p0906,black merry weapon,food,5
p0907,blue crazy pants,weapon,10
p0908,blue leather hat,food,11
p0909,blue crazy weapon,food,7
p0910,red leather bag,food,2
p0911,red crazy bag,weapon,4
p0912,yellow merry bag,artifact,12
p0913,yellow shiny weapon,weapon,1
p0914,yellow crazy weapon,artifact,14
p0915,blue leather armor,food,10
p0916,yellow strong bag,weapon,2
p0917,green crazy hat,weapon,3
p0918,yellow crazy helmet,weapon,7
p0919,white shiny hat,food,6
p0920,green crazy weapon,artifact,9
p0921,black leather hat,weapon,3
p0922,green leather hat,food,11
p0923,green leather weapon,food,1
p0924,green chiffon weapon,weapon,12
p0925,blue chiffon hat,weapon,16
p0926,blue leather helmet,weapon,5
p0927,red leather pants,weapon,14
p0928,white crazy helmet,artifact,5
p0929,red chiffon hat,food,15
p0930,green merry armor,food,3
p0931,white shiny hat,artifact,10
p0932,white merry hat,food,15
p0933,black shiny helmet,weapon,3
p0934,green chiffon armor,artifact,8
p0935,blue strong helmet,artifact,16
p0936,black chiffon weapon,artifact,11
p0937,blue leather armor,artifact,4
p0938,green crazy armor,artifact,0
p0939,black shiny bag,weapon,15
p0940,green leather armor,weapon,14
p0941,green strong armor,artifact,15
p0942,blue leather bag,artifact,3
p0943,blue shiny helmet,weapon,14
p0944,red merry pants,food,9
p0945,green crazy pants,weapon,1
p0946,red merry hat,weapon,12
p0947,yellow crazy pants,artifact,12
p0948,yellow strong hat,artifact,9
p0949,red shiny helmet,weapon,10
p0950,black leather weapon,weapon,6
p0951,green crazy pants,artifact,8
p0952,red leather weapon,artifact,11
p0953,black leather hat,weapon,15
p0954,white strong armor,food,0
p0955,yellow strong armor,artifact,9
p0956,blue crazy helmet,artifact,12
p0957,red merry weapon,weapon,0
p0958,white merry hat,food,1
p0959,green shiny bag,artifact,3
p0960,yellow crazy armor,artifact,6
p0961,yellow leather helmet,food,11
p0962,blue crazy armor,weapon,8
p0963,black strong helmet,artifact,10
p0964,red strong pants,food,13
p0965,black shiny pants,food,8
p0966,yellow shiny helmet,food,13
p0967,blue shiny pants,food,13
p0968,green chiffon weapon,food,16
p0969,blue crazy helmet,artifact,7
p0970,blue leather hat,artifact,8
p0971,white shiny helmet,weapon,1
p0972,red leather armor,artifact,12
p0973,yellow merry helmet,artifact,6
p0974,yellow crazy armor,artifact,9
p0975,white crazy hat,artifact,1
p0976,red leather bag,artifact,12
p0977,black merry hat,weapon,16
p0978,black shiny helmet,weapon,16
p0979,yellow strong armor,weapon,7
p0980,blue merry weapon,artifact,14
p0981,yellow leather pants,artifact,1
p0982,green crazy armor,artifact,13
p0983,blue strong bag,weapon,16
p0984,red leather pants,food,13
p0985,white crazy pants,food,16
p0986,green shiny pants,weapon,12
p0987,black shiny bag,weapon,10
p0988,black leather hat,artifact,10
p0989,yellow leather hat,weapon,7
p0990,black crazy helmet,artifact,7
p0991,blue crazy helmet,weapon,6
p0992,black shiny weapon,food,10
p0993,yellow shiny helmet,artifact,13
p0994,green merry armor,weapon,13
p0995,white chiffon helmet,artifact,12
p0996,blue shiny helmet,weapon,5
p0997,blue crazy armor,food,10
p0998,green merry hat,food,16
p0999,blue leather pants,food,9
p1000,green merry weapon,food,16
