rnt0000,prd0968,cust0923
rnt0874,prd0178,cust0625
rnt0875,prd0869,cust0770
rnt0876,prd0438,cust0546
rnt0877,prd0263,cust0760
rnt0878,prd0195,cust0111
rnt0879,prd0422,cust0074
rnt0880,prd0118,cust0228
rnt0881,prd0030,cust0489
rnt0882,prd0673,cust0024
rnt0883,prd0883,cust0422
rnt0884,prd0450,cust0432
rnt0885,prd0069,cust0080
rnt0886,prd0449,cust0055
rnt0887,prd0818,cust0494
rnt0888,prd0114,cust0435
rnt0889,prd0308,cust0569
rnt0890,prd0803,cust0096
rnt0891,prd0204,cust0522
rnt0892,prd0656,cust0206
rnt0893,prd0620,cust0568
rnt0894,prd0605,cust0263
rnt0895,prd0606,cust0285
rnt0896,prd0420,cust0552
rnt0897,prd0999,cust0867
rnt0898,prd0365,cust0738
rnt0899,prd0923,cust0564
rnt0900,prd0502,cust0539
rnt0901,prd0521,cust0056
rnt0902,prd0156,cust0445
rnt0903,prd0558,cust0331
rnt0904,prd0480,cust0621
rnt0905,prd0582,cust0159
rnt0906,prd0113,cust0193
rnt0907,prd0102,cust0951
rnt0908,prd0335,cust0821
rnt0909,prd0262,cust0612
rnt0910,prd0391,cust0445
rnt0911,prd0503,cust0391
rnt0912,prd0776,cust0575
rnt0913,prd0355,cust0641
rnt0914,prd0452,cust0250
rnt0915,prd0262,cust0309
rnt0916,prd0175,cust0011
rnt0917,prd0937,cust0870
rnt0918,prd0075,cust0114
rnt0919,prd0085,cust0221
rnt0920,prd0426,cust0221
rnt0921,prd0356,cust0850
rnt0922,prd0027,cust0175
rnt0923,prd0058,cust0887
rnt0924,prd0220,cust0641
rnt0925,prd0816,cust0992
rnt0926,prd0035,cust0672
rnt0927,prd0368,cust0415
rnt0928,prd0602,cust0930
rnt0929,prd0185,cust0726
rnt0930,prd0468,cust0461
rnt0931,prd0166,cust0994
rnt0932,prd0555,cust0784
rnt0933,prd0123,cust0583
rnt0934,prd0042,cust0115
rnt0935,prd0107,cust0829
rnt0936,prd0743,cust0139
rnt0937,prd0019,cust0247
rnt0938,prd0968,cust0159
rnt0939,prd0283,cust0917
rnt0940,prd0855,cust0883
rnt0941,prd0391,cust0670
rnt0942,prd0934,cust0078
rnt0943,prd0744,cust0986
rnt0944,prd0084,cust0486
rnt0945,prd0856,cust0969
rnt0946,prd0474,cust0552
rnt0947,prd0593,cust0946
rnt0948,prd0144,cust0954
rnt0949,prd0838,cust0994
rnt0950,prd0747,cust0647
rnt0951,prd0974,cust0094
rnt0952,prd0365,cust0605
rnt0953,prd0142,cust0905
rnt0954,prd0960,cust0566
rnt0955,prd0911,cust0855
rnt0956,prd0943,cust0988
rnt0957,prd0523,cust0442
rnt0958,prd0923,cust0824
rnt0959,prd0231,cust0449
rnt0960,prd0924,cust0569
rnt0961,prd0004,cust0418
rnt0962,prd0862,cust0561
rnt0963,prd0880,cust0683
rnt0964,prd0201,cust0014
rnt0965,prd0618,cust0073
rnt0966,prd0118,cust0054
rnt0967,prd0621,cust0457
rnt0968,prd0524,cust0911
rnt0969,prd0428,cust0745
rnt0970,prd0352,cust0772
rnt0971,prd0045,cust0033
rnt0972,prd0647,cust0006
rnt0973,prd0559,cust0960
rnt0974,prd0394,cust0124
rnt0975,prd0569,cust0349
rnt0976,prd0171,cust0895
rnt0977,prd0450,cust0753
rnt0978,prd0410,cust0332
rnt0979,prd0475,cust0305
rnt0980,prd0667,cust0621
rnt0981,prd0501,cust0978
rnt0982,prd0600,cust0654
rnt0983,prd0673,cust0798
rnt0984,prd0981,cust0559
rnt0985,prd0002,cust0337
rnt0986,prd0374,cust0968
rnt0987,prd0547,cust0703
rnt0988,prd0323,cust0677
rnt0989,prd0698,cust0969
rnt0990,prd0167,cust0639
rnt0991,prd0504,cust0706
rnt0992,prd0680,cust0618
rnt0993,prd0905,cust0077
rnt0994,prd0266,cust0531
rnt0995,prd0358,cust0105
rnt0996,prd0428,cust0768
rnt0997,prd0869,cust0564
rnt0998,prd0602,cust0323
rnt0999,prd0787,cust0807
